what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339060470935
java.specification.version,sysinfo,,,"1.6",1339060470935
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339060470935
java.version,sysinfo,,,"1.6.0_31",1339060470935
java.vm.info,sysinfo,,,"mixed mode, sharing",1339060470935
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339060470935
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339060470935
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339060470935
java.vm.specification.version,sysinfo,,,"1.0",1339060470935
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339060470935
java.vm.version,sysinfo,,,"20.6-b01",1339060470935
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1339060471248
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1339060471293
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1339060471867
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1339060473086
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339060477068
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1339060477123
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1339060479811
started,bundle,com.google.gdt.eclipse.designer.wizards,2.5.0.r37x201202061331,"com.google.gdt.eclipse.designer.wizards",1339060483681
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1339060484230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060488254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060495812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060499629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060512754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060519789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1339060520534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339060521714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060524613
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1339060524994
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1339060525137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060525436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060535814
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1339060537415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339060538201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339060539873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060552477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060556158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060574890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060615157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339060633020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060659869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060679020
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1339060682945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339060688115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339060689240
